customer_id,age,gender,region,segment,acquisition_channel,join_year,loyalty_points,email_opt_in
C00001,23,Male,Southwest,Occasional,Email,2022,12,True
C00002,30,Female,Midwest,New,Email,2023,16,True
C00003,18,Male,Northeast,Occasional,Email,2023,36,True
C00004,33,Female,West,Loyal,Social Media,2022,982,True
C00005,18,Male,Northeast,Occasional,Display Ad,2021,91,True
C00006,46,Male,Midwest,Loyal,Email,2022,186,True
C00007,33,Male,Northeast,Occasional,Organic Search,2024,259,False
C00008,42,Female,West,Regular,Email,2023,74,True
C00009,18,Male,South,New,Organic Search,2022,99,False
C00010,24,Female,Northeast,Regular,Display Ad,2024,151,True
C00011,39,Female,South,New,Social Media,2023,51,True
C00012,26,Female,South,Regular,Organic Search,2023,99,True
C00013,33,Female,Northeast,Occasional,Referral,2023,12,True
C00014,31,Female,South,Occasional,Social Media,2022,14,False
C00015,45,Male,South,Loyal,Paid Search,2024,65,True
C00016,40,Female,West,Loyal,Email,2022,217,True
C00017,18,Male,South,New,Referral,2023,19,True
C00018,55,Male,Northeast,Occasional,Referral,2021,95,True
C00019,27,Male,West,New,Social Media,2021,91,True
C00020,34,Female,South,Occasional,Social Media,2023,22,False
C00021,31,Female,West,Occasional,Email,2024,56,True
C00022,39,Male,Midwest,Loyal,Social Media,2022,829,True
C00023,26,Female,South,New,Email,2023,106,True
C00024,36,Male,Midwest,Occasional,Organic Search,2023,58,True
C00025,41,Male,West,Champion,Social Media,2024,602,False
C00026,42,Female,Northeast,Loyal,Social Media,2022,1371,False
C00027,20,Non-binary/Other,Midwest,Regular,Referral,2024,63,True
C00028,44,Female,West,Regular,Referral,2022,31,False
C00029,38,Male,South,Regular,Referral,2023,24,True
C00030,48,Female,South,Champion,Social Media,2022,791,True
C00031,23,Male,South,Regular,Organic Search,2023,3,False
C00032,31,Female,Northeast,Occasional,Organic Search,2022,244,True
C00033,37,Male,West,Regular,Social Media,2021,14,True
C00034,41,Female,Midwest,Champion,Display Ad,2023,2305,True
C00035,34,Female,Southwest,Occasional,Paid Search,2023,132,False
C00036,42,Female,West,Loyal,Email,2024,800,True
C00037,36,Male,Midwest,Regular,Display Ad,2022,89,True
C00038,29,Female,Midwest,New,Referral,2024,23,True
C00039,18,Male,Northeast,Occasional,Direct,2024,48,False
C00040,31,Female,Northeast,New,Direct,2022,279,True
C00041,18,Male,Midwest,New,Direct,2023,6,True
C00042,19,Female,Midwest,Regular,Referral,2021,7,True
C00043,43,Male,Southwest,Champion,Display Ad,2023,24,True
C00044,45,Male,Northeast,New,Direct,2021,7,True
C00045,46,Female,Southwest,Champion,Display Ad,2022,24,False
C00046,42,Male,South,Loyal,Paid Search,2022,347,True
C00047,39,Female,South,Regular,Email,2024,68,True
C00048,36,Female,Southwest,Regular,Email,2023,39,False
C00049,40,Male,Midwest,Loyal,Paid Search,2021,11,False
C00050,23,Female,Southwest,New,Social Media,2021,167,False
C00051,31,Female,West,Loyal,Social Media,2023,266,True
C00052,33,Female,Southwest,Loyal,Email,2022,280,False
C00053,45,Female,West,Regular,Email,2022,0,False
C00054,28,Non-binary/Other,Northeast,New,Social Media,2022,54,True
C00055,36,Female,West,New,Display Ad,2022,7,True
C00056,45,Male,Southwest,New,Social Media,2023,97,False
C00057,35,Male,Midwest,Regular,Organic Search,2024,138,True
C00058,28,Non-binary/Other,Southwest,New,Organic Search,2021,169,True
C00059,24,Female,Northeast,Loyal,Referral,2023,610,True
C00060,40,Male,Midwest,Occasional,Email,2022,67,False
C00061,39,Male,West,Regular,Display Ad,2023,51,True
C00062,37,Female,Southwest,Occasional,Direct,2022,3,False
C00063,35,Female,West,Occasional,Direct,2023,95,True
C00064,35,Non-binary/Other,Northeast,Regular,Email,2024,32,True
C00065,24,Male,Northeast,Regular,Social Media,2022,95,True
C00066,27,Female,Southwest,Occasional,Direct,2024,193,False
C00067,46,Female,Midwest,Champion,Social Media,2022,23,True
C00068,43,Non-binary/Other,West,Occasional,Social Media,2024,72,True
C00069,43,Male,West,Champion,Direct,2023,29,False
C00070,40,Non-binary/Other,Southwest,Loyal,Display Ad,2024,732,False
C00071,35,Non-binary/Other,Southwest,Loyal,Email,2021,129,True
C00072,22,Male,Midwest,Regular,Paid Search,2022,58,False
C00073,33,Female,West,Occasional,Organic Search,2023,11,True
C00074,44,Female,South,Regular,Display Ad,2023,11,True
C00075,18,Female,Northeast,Occasional,Organic Search,2022,57,False
C00076,43,Female,Southwest,Occasional,Direct,2023,12,False
C00077,29,Female,Southwest,Occasional,Referral,2024,80,True
C00078,18,Male,South,New,Referral,2021,95,True
C00079,42,Non-binary/Other,Southwest,Regular,Paid Search,2023,20,False
C00080,30,Male,West,Occasional,Direct,2022,49,True
C00081,47,Female,West,Occasional,Referral,2021,6,False
C00082,41,Male,West,Champion,Organic Search,2021,454,False
C00083,31,Female,Midwest,Occasional,Direct,2023,5,True
C00084,28,Female,South,New,Display Ad,2023,2,False
C00085,25,Male,West,Occasional,Organic Search,2023,19,True
C00086,26,Female,Northeast,New,Paid Search,2024,124,True
C00087,46,Male,South,New,Paid Search,2023,26,True
C00088,43,Male,Southwest,Regular,Referral,2023,74,True
C00089,24,Male,West,New,Display Ad,2022,4,True
C00090,29,Female,Northeast,Regular,Email,2024,199,True
C00091,55,Female,South,Champion,Paid Search,2024,164,False
C00092,27,Male,West,New,Email,2022,22,True
C00093,40,Female,South,Regular,Social Media,2022,4,True
C00094,18,Non-binary/Other,Southwest,New,Paid Search,2021,7,True
C00095,27,Female,West,New,Direct,2023,142,False
C00096,19,Female,Northeast,New,Social Media,2023,5,False
C00097,34,Male,South,Regular,Direct,2023,16,True
C00098,35,Male,Midwest,Regular,Organic Search,2024,91,True
C00099,37,Male,West,Regular,Organic Search,2023,35,True
C00100,38,Male,South,Occasional,Referral,2021,224,True
C00101,34,Female,South,Occasional,Email,2023,485,False
C00102,31,Male,Northeast,Regular,Referral,2023,100,True
C00103,35,Male,Northeast,Regular,Display Ad,2022,127,True
C00104,20,Female,South,New,Social Media,2023,66,True
C00105,25,Male,South,Regular,Email,2022,194,True
C00106,22,Female,South,New,Email,2022,8,False
C00107,33,Male,West,Loyal,Referral,2021,1207,True
C00108,38,Male,West,New,Organic Search,2022,163,True
C00109,30,Female,Southwest,Regular,Paid Search,2022,32,True
C00110,30,Male,Midwest,Occasional,Social Media,2024,107,True
C00111,18,Female,Southwest,New,Organic Search,2022,36,True
C00112,33,Female,West,Regular,Email,2021,49,True
C00113,27,Male,South,Loyal,Social Media,2022,804,True
C00114,33,Male,South,Occasional,Paid Search,2023,27,True
C00115,19,Female,Northeast,Occasional,Organic Search,2023,32,True
C00116,57,Female,Midwest,Regular,Email,2022,129,False
C00117,35,Male,South,Loyal,Display Ad,2023,9,True
C00118,46,Female,Midwest,Loyal,Social Media,2022,139,False
C00119,35,Male,Midwest,Loyal,Display Ad,2023,501,False
C00120,47,Female,Southwest,Loyal,Email,2021,608,False
C00121,43,Male,Northeast,Regular,Direct,2022,33,False
C00122,27,Male,Midwest,Occasional,Referral,2024,121,True
C00123,34,Female,West,Regular,Referral,2022,108,True
C00124,34,Female,Northeast,Occasional,Paid Search,2022,59,True
C00125,29,Female,West,New,Referral,2022,141,True
C00126,20,Female,South,New,Paid Search,2021,73,True
C00127,26,Female,Midwest,New,Email,2022,254,True
C00128,34,Male,South,New,Social Media,2023,35,True
C00129,20,Female,Southwest,New,Organic Search,2023,25,True
C00130,49,Female,South,New,Direct,2024,13,True
C00131,21,Female,Midwest,Occasional,Organic Search,2022,22,False
C00132,27,Male,Midwest,Loyal,Email,2023,223,True
C00133,27,Female,Southwest,Loyal,Organic Search,2023,537,True
C00134,36,Female,South,Loyal,Paid Search,2022,26,True
C00135,18,Male,West,New,Social Media,2022,206,False
C00136,61,Female,South,Champion,Paid Search,2023,369,True
C00137,42,Female,South,Regular,Paid Search,2023,103,True
C00138,18,Female,West,Occasional,Direct,2023,78,False
C00139,35,Female,Northeast,Regular,Direct,2024,116,True
C00140,40,Female,West,Occasional,Paid Search,2023,7,True
C00141,18,Female,Southwest,Occasional,Organic Search,2024,25,False
C00142,25,Male,Northeast,New,Email,2021,250,False
C00143,30,Female,Southwest,New,Paid Search,2024,14,False
C00144,28,Female,Southwest,New,Social Media,2024,57,True
C00145,23,Male,Southwest,New,Referral,2023,278,False
C00146,36,Male,Midwest,Champion,Social Media,2024,709,True
C00147,23,Female,West,New,Email,2022,69,True
C00148,43,Male,West,Loyal,Social Media,2022,1557,False
C00149,43,Male,South,Loyal,Direct,2021,25,True
C00150,57,Female,Southwest,Champion,Organic Search,2021,31,False
C00151,33,Female,Southwest,Occasional,Direct,2023,105,True
C00152,44,Male,West,Loyal,Direct,2022,907,True
C00153,46,Female,Midwest,Regular,Organic Search,2022,2,False
C00154,33,Female,Midwest,New,Email,2022,64,False
C00155,33,Male,Southwest,New,Social Media,2021,10,True
C00156,18,Female,Northeast,New,Email,2022,15,False
C00157,42,Male,Northeast,Loyal,Referral,2024,616,True
C00158,23,Female,Southwest,New,Email,2021,110,True
C00159,33,Female,Midwest,Regular,Paid Search,2023,25,False
C00160,18,Male,Southwest,Occasional,Direct,2023,28,False
C00161,34,Non-binary/Other,Northeast,Loyal,Direct,2024,1437,True
C00162,32,Male,South,Regular,Social Media,2022,42,False
C00163,18,Female,Northeast,New,Referral,2024,18,True
C00164,39,Female,South,New,Direct,2023,11,True
C00165,50,Male,West,Champion,Referral,2023,578,True
C00166,31,Male,Southwest,New,Direct,2023,71,True
C00167,40,Male,South,Champion,Direct,2023,707,False
C00168,28,Female,West,Loyal,Organic Search,2023,54,True
C00169,18,Female,Midwest,New,Email,2022,6,True
C00170,37,Female,Midwest,Loyal,Referral,2021,194,False
C00171,35,Female,South,New,Direct,2021,98,True
C00172,45,Female,Midwest,Champion,Email,2021,1023,True
C00173,46,Female,Northeast,Loyal,Referral,2021,849,True
C00174,30,Female,South,Regular,Paid Search,2023,4,True
C00175,25,Male,Southwest,New,Display Ad,2024,45,True
C00176,31,Female,Southwest,New,Organic Search,2021,54,True
C00177,28,Female,West,Occasional,Referral,2022,259,True
C00178,26,Female,Northeast,Loyal,Email,2023,20,False
C00179,48,Female,Midwest,Regular,Email,2023,43,True
C00180,31,Male,Southwest,Regular,Paid Search,2024,79,False
C00181,31,Male,Midwest,New,Display Ad,2022,42,True
C00182,34,Male,West,Occasional,Email,2021,71,True
C00183,21,Male,Southwest,Occasional,Display Ad,2023,48,True
C00184,37,Female,Midwest,New,Email,2022,141,True
C00185,40,Male,West,New,Social Media,2022,106,True
C00186,38,Female,Northeast,Occasional,Display Ad,2024,162,True
C00187,27,Female,Southwest,New,Organic Search,2023,10,True
C00188,40,Female,Northeast,Champion,Paid Search,2022,253,True
C00189,35,Female,Northeast,Regular,Referral,2022,12,True
C00190,35,Male,Midwest,Occasional,Direct,2023,7,True
C00191,30,Female,Midwest,Occasional,Social Media,2023,91,True
C00192,36,Female,Northeast,Regular,Social Media,2024,213,True
C00193,40,Female,Midwest,Regular,Referral,2022,85,False
C00194,18,Male,Southwest,New,Organic Search,2024,7,True
C00195,37,Male,Midwest,New,Paid Search,2024,168,True
C00196,43,Male,West,Loyal,Direct,2022,196,True
C00197,24,Male,West,Occasional,Social Media,2022,20,True
C00198,47,Female,West,Regular,Social Media,2023,62,False
C00199,24,Male,Midwest,Loyal,Email,2023,1556,True
C00200,29,Female,Northeast,New,Display Ad,2021,22,False
C00201,26,Female,Southwest,New,Email,2021,88,False
C00202,36,Male,Midwest,Occasional,Paid Search,2023,25,True
C00203,32,Female,West,New,Paid Search,2022,16,False
C00204,24,Female,Northeast,Occasional,Direct,2021,80,False
C00205,35,Male,Midwest,Regular,Paid Search,2022,35,False
C00206,35,Male,Northeast,Regular,Paid Search,2023,105,False
C00207,39,Male,Southwest,Regular,Display Ad,2021,21,False
C00208,37,Male,Southwest,Occasional,Display Ad,2023,20,True
C00209,40,Male,South,Regular,Display Ad,2021,95,True
C00210,21,Female,Northeast,Occasional,Referral,2023,8,False
C00211,31,Female,South,Regular,Organic Search,2021,31,True
C00212,30,Female,Midwest,Occasional,Email,2021,128,True
C00213,34,Male,South,Occasional,Referral,2023,88,False
C00214,41,Female,Northeast,Regular,Referral,2023,66,False
C00215,20,Male,West,New,Display Ad,2023,112,True
C00216,40,Female,Southwest,Regular,Display Ad,2023,40,True
C00217,41,Female,Midwest,Champion,Display Ad,2024,1000,True
C00218,38,Male,Northeast,Occasional,Organic Search,2022,20,True
C00219,22,Female,Midwest,Occasional,Email,2023,165,True
C00220,32,Female,Northeast,Loyal,Paid Search,2023,347,True
C00221,43,Female,South,Occasional,Display Ad,2023,29,True
C00222,40,Female,Midwest,Occasional,Referral,2022,297,True
C00223,37,Female,Southwest,Loyal,Email,2023,349,True
C00224,34,Male,Midwest,New,Email,2022,11,False
C00225,31,Female,Midwest,Occasional,Direct,2022,8,True
C00226,31,Female,South,New,Display Ad,2023,5,False
C00227,33,Male,South,Occasional,Direct,2024,10,True
C00228,25,Male,Northeast,New,Email,2023,457,False
C00229,42,Male,Southwest,Regular,Email,2023,41,True
C00230,20,Female,Southwest,Occasional,Direct,2023,117,True
C00231,28,Female,Midwest,Occasional,Display Ad,2022,77,True
C00232,37,Male,Southwest,Loyal,Direct,2023,21,True
C00233,27,Male,Northeast,New,Paid Search,2022,31,False
C00234,49,Male,Midwest,Occasional,Direct,2022,250,True
C00235,31,Male,West,New,Paid Search,2024,213,True
C00236,39,Female,South,Loyal,Referral,2024,506,True
C00237,18,Female,Southwest,New,Direct,2023,3,False
C00238,35,Male,West,Regular,Direct,2024,56,True
C00239,23,Female,Midwest,Occasional,Referral,2023,6,True
C00240,23,Male,West,Loyal,Paid Search,2023,550,True
C00241,26,Female,Midwest,New,Paid Search,2024,128,True
C00242,40,Female,Northeast,Champion,Paid Search,2023,68,True
C00243,36,Male,West,Champion,Paid Search,2022,1433,True
C00244,18,Female,Southwest,New,Social Media,2022,89,True
C00245,40,Male,Northeast,Loyal,Social Media,2023,192,False
C00246,18,Female,Midwest,New,Direct,2023,92,True
C00247,31,Male,Southwest,Champion,Direct,2022,680,True
C00248,27,Male,Northeast,New,Display Ad,2022,167,True
C00249,38,Female,Northeast,New,Social Media,2023,41,False
C00250,29,Female,South,New,Social Media,2023,93,True
C00251,41,Female,West,Occasional,Paid Search,2024,113,True
C00252,35,Female,South,Regular,Direct,2024,10,True
C00253,29,Female,Southwest,Regular,Paid Search,2021,77,True
C00254,43,Female,Northeast,Loyal,Direct,2021,514,True
C00255,49,Female,Midwest,Regular,Social Media,2023,25,False
C00256,47,Male,Southwest,Occasional,Email,2021,122,True
C00257,18,Male,West,Loyal,Paid Search,2021,232,True
C00258,44,Female,Southwest,Loyal,Organic Search,2023,273,True
C00259,36,Male,West,Loyal,Paid Search,2024,443,True
C00260,24,Male,West,Occasional,Referral,2022,142,True
C00261,34,Male,South,Occasional,Direct,2022,147,True
C00262,36,Female,Midwest,Loyal,Email,2023,25,False
C00263,35,Female,Southwest,Loyal,Referral,2024,166,True
C00264,20,Male,Midwest,New,Referral,2022,44,False
C00265,29,Female,South,New,Organic Search,2021,33,True
C00266,36,Male,South,Loyal,Email,2021,68,False
C00267,35,Female,Southwest,Occasional,Paid Search,2023,12,False
C00268,32,Male,Southwest,New,Email,2022,34,True
C00269,22,Female,West,New,Direct,2024,20,True
C00270,25,Female,Midwest,Occasional,Referral,2023,20,False
C00271,35,Male,South,Occasional,Direct,2022,110,True
C00272,30,Male,South,Loyal,Social Media,2021,771,True
C00273,24,Female,Southwest,New,Display Ad,2023,169,False
C00274,20,Non-binary/Other,Midwest,New,Organic Search,2023,2,True
C00275,32,Male,Northeast,Occasional,Display Ad,2023,138,True
C00276,45,Male,Midwest,Loyal,Email,2024,787,True
C00277,31,Female,Midwest,Regular,Email,2024,95,False
C00278,42,Female,Midwest,Occasional,Social Media,2024,328,True
C00279,20,Female,South,New,Organic Search,2022,130,True
C00280,44,Non-binary/Other,Southwest,Champion,Referral,2022,503,True
C00281,28,Female,West,Loyal,Email,2021,635,False
C00282,25,Male,Southwest,New,Organic Search,2023,136,True
C00283,32,Male,Southwest,Regular,Paid Search,2024,136,False
C00284,18,Male,Midwest,Occasional,Referral,2022,101,True
C00285,31,Male,West,Loyal,Direct,2023,820,False
C00286,32,Female,Midwest,New,Paid Search,2021,30,True
